ID,Season,Date,Home Team Api ID,Away Team Api ID,Home Team Goals,Away Team Goals
880,2011/2012,2012-01-28,9994,8203,3,2
881,2011/2012,2012-01-28,8571,10000,0,0
884,2011/2012,2012-01-29,9984,9985,0,1
887,2011/2012,2012-02-04,9997,9984,0,1
889,2011/2012,2012-02-04,9994,9998,3,1
890,2011/2012,2012-02-04,8203,8571,0,0
892,2011/2012,2012-02-04,1773,9991,2,3
894,2011/2012,2012-02-11,9987,9994,0,1
896,2011/2012,2012-02-11,9993,9997,3,2
897,2011/2012,2012-02-11,8571,9998,2,2
900,2011/2012,2012-02-11,9984,8203,1,0
904,2011/2012,2012-02-19,10000,9985,4,2
905,2011/2012,2012-02-18,1773,9984,2,3
906,2011/2012,2012-02-18,9994,9991,1,1
907,2011/2012,2012-02-18,8203,9993,2,1
908,2011/2012,2012-02-18,9998,9987,1,2
909,2011/2012,2012-02-26,9985,9997,0,0
911,2011/2012,2012-02-25,9993,1773,2,1
912,2011/2012,2012-02-25,8571,9994,2,5
915,2011/2012,2012-02-25,9984,10000,1,0
916,2011/2012,2012-02-25,9991,9998,2,0
919,2011/2012,2012-03-03,9997,10000,1,0
922,2011/2012,2012-03-03,8571,9987,3,2
923,2011/2012,2012-03-03,8203,9991,0,2
924,2011/2012,2012-03-03,9998,9993,4,2
925,2011/2012,2012-03-18,9985,1773,4,0
926,2011/2012,2012-03-18,9991,8571,3,1
927,2011/2012,2012-03-18,9993,9994,2,2
929,2011/2012,2012-03-18,10000,8203,2,0
