Ad System,Day,Campaign ID,Group ID,Ad ID,Keyword ID,Cost,Shows,Clicks
google.adwords,2019-03-04,1329685,167881801,414199669,572141057,0.0,1,0
yandex.direct,2019-03-04,1329625,167879087,408701713,572132559,0.0,1,0
yandex.direct,2019-03-04,1329633,167879429,408701719,572133563,0.0,4,0
yandex.direct,2019-03-04,1329621,167879121,408702011,572132699,0.0,16,0
yandex.direct,2019-03-04,1329635,167879165,408701621,572134605,0.0,6,0
yandex.direct,2019-03-04,1329639,167879131,408701803,572134325,0.0,1,0
yandex.direct,2019-03-04,1329625,167879087,408701713,572132615,0.0,26,0
yandex.direct,2019-03-04,1329625,167879087,408701711,572132573,0.0,23,0
yandex.direct,2019-03-04,1329639,167879125,408701785,572134289,125.92,68,2
yandex.direct,2019-03-04,1329635,167879165,408701621,572134559,81.99,2,1
yandex.direct,2019-03-04,1329615,167879069,414198655,572134067,69.4,93,2
yandex.direct,2019-03-04,1329625,167879085,408701707,572132455,0.0,3,0
google.adwords,2019-03-04,1329699,167881553,414199137,572141233,0.0,1,0
yandex.direct,2019-03-04,1329635,167879139,408701565,572134343,0.0,1,0
yandex.direct,2019-03-04,1329647,167879043,408702043,572136051,0.0,44,0
yandex.direct,2019-03-04,1329613,167879311,414198635,572135479,0.0,1,0
google.adwords,2019-03-04,1329697,167881713,408706987,572139267,0.0,3,0
yandex.direct,2019-03-04,1329635,167879139,408701567,572134339,0.0,2,0
yandex.direct,2019-03-04,1329615,167879077,414198667,572134097,0.0,21,0
google.adwords,2019-03-04,1329665,167881515,414199083,572141017,0.0,3,0
yandex.direct,2019-03-04,1329633,167879451,408701879,572133711,7.6,1,1
yandex.direct,2019-03-04,1329631,167879233,408701283,572134941,0.0,1,0
yandex.direct,2019-03-04,1329625,167879085,408701709,572132451,0.0,2,0
yandex.direct,2019-03-04,1329619,167879367,408701397,572133235,0.0,3,0
yandex.direct,2019-03-04,1329619,167879365,408701393,572133201,0.0,1,0
yandex.direct,2019-03-04,1329625,167879085,408701707,572132537,0.0,1,0
yandex.direct,2019-03-04,1329647,167879033,408702067,572135955,0.0,128,0
yandex.direct,2019-03-04,1329633,167879435,408702037,572133603,0.0,2,0
yandex.direct,2019-03-04,1329625,167879081,408701701,572132383,0.0,29,0
yandex.direct,2019-03-04,1329645,167879287,408701777,572135369,0.0,9,0
yandex.direct,2019-03-04,1329611,167879057,408701853,572133879,0.0,2,0
yandex.direct,2019-03-04,1329631,167879191,408702135,572134715,18.11,1,1
yandex.direct,2019-03-04,1329631,167879233,408701281,572134937,0.0,1,0
yandex.direct,2019-03-04,1329613,167879309,414198629,572135429,0.0,1,0
yandex.direct,2019-03-04,1329639,167879129,408701795,572134313,0.0,38,0
yandex.direct,2019-03-04,1329633,167879401,408701623,572133417,0.0,1,0
google.adwords,2019-03-04,1329687,167881451,414198937,572141147,0.0,1,0
yandex.direct,2019-03-04,1329643,167879095,408701827,572134193,38.23,10,1
google.adwords,2019-03-04,1329695,167881559,408706793,572140223,0.0,1,0
yandex.direct,2019-03-04,1329639,167879127,408702053,572134305,0.0,77,0
yandex.direct,2019-03-04,1329613,167879307,414198671,572135419,0.0,1,0
yandex.direct,2019-03-04,1329647,167879033,408702067,572135945,0.0,12,0
google.adwords,2019-03-04,1329661,167881459,414199007,572141219,0.0,2,0
yandex.direct,2019-03-04,1329619,167879365,408701393,572133203,0.0,1,0
yandex.direct,2019-03-04,1329613,167879311,414198635,572135477,0.0,1,0
yandex.direct,2019-03-04,1329641,167879339,408701977,572133089,0.0,37,0
yandex.direct,2019-03-04,1329615,167879069,414198651,572134063,0.0,2,0
yandex.direct,2019-03-04,1329633,167879435,408702035,572133615,0.0,8,0
yandex.direct,2019-03-04,1329643,167879089,408701813,572134119,0.0,118,0
yandex.direct,2019-03-04,1329643,167879089,408701811,572134119,0.0,7,0
yandex.direct,2019-03-04,1329633,167879429,408701721,572133547,0.0,8,0
yandex.direct,2019-03-04,1329631,167879219,408701255,572134829,0.0,2,0
yandex.direct,2019-03-04,1329641,167879347,408701465,572133129,0.0,1,0
yandex.direct,2019-03-04,1329625,167879085,408701707,572132413,0.0,1,0
google.adwords,2019-03-04,1329663,167881603,414199281,572141233,0.0,1,0
yandex.direct,2019-03-04,1329625,167879087,408701711,572132655,0.0,20,0
yandex.direct,2019-03-04,1329631,167879195,408702143,572134741,2.74,2,1
yandex.direct,2019-03-04,1329643,167879093,408701823,572134181,0.0,2,0
google.adwords,2019-03-04,1329685,167881799,414199661,572140209,39.42,4,1
yandex.direct,2019-03-04,1329637,167879371,408701447,572135905,0.0,1,0
yandex.direct,2019-03-04,1329609,167879301,408702095,572132981,0.0,1,0
yandex.direct,2019-03-04,1329645,167879287,408701775,572135335,0.0,1,0
yandex.direct,2019-03-04,1329611,167879057,408701851,572133881,0.0,7,0
google.adwords,2019-03-04,1329689,167881673,414199397,572141151,0.0,20,0
yandex.direct,2019-03-04,1329615,167879067,414198647,572134031,0.0,12,0
yandex.direct,2019-03-04,1329625,167879085,408701707,572132411,0.0,240,0
yandex.direct,2019-03-04,1329639,167879129,408701797,572134313,0.0,23,0
yandex.direct,2019-03-04,1329613,167879317,414198691,572135551,44.86,24,1
yandex.direct,2019-03-04,1329611,167879045,408702089,572133809,5.33,8,1
yandex.direct,2019-03-04,1329631,167879219,408701255,572134837,0.0,1,0
yandex.direct,2019-03-04,1329647,167879033,408702067,572135951,0.0,95,0
yandex.direct,2019-03-04,1329625,167879087,408701711,572132647,0.0,10,0
google.adwords,2019-03-04,1329693,167881757,414199569,572141767,148.0,4,1
yandex.direct,2019-03-04,1329639,167879131,408701803,572134319,0.0,19,0
google.adwords,2019-03-04,1329699,167881539,414199173,572141659,0.0,3,0
yandex.direct,2019-03-04,1329633,167879419,408701671,572133509,174.03,1333,7
yandex.direct,2019-03-04,1329613,167879307,414198673,572135383,0.0,1,0
yandex.direct,2019-03-04,1329639,167879131,408701805,572134327,0.0,2,0
yandex.direct,2019-03-04,1329611,167879045,408702083,572133805,0.0,3,0
yandex.direct,2019-03-04,1329647,167879033,408702067,572135949,0.0,3,0
yandex.direct,2019-03-04,1329613,167879307,414198673,572135419,75.61,3,1
yandex.direct,2019-03-04,1329623,167879329,408701735,572135619,0.0,1,0
yandex.direct,2019-03-04,1329645,167879287,408701775,572135373,0.0,1,0
yandex.direct,2019-03-04,1329633,167879419,408701673,572133509,0.0,67,0
yandex.direct,2019-03-04,1329635,167879165,408701621,572134601,22.75,2,1
yandex.direct,2019-03-04,1329619,167879363,408701391,572133181,0.0,3,0
